,loop,num_leaves,min_child_samples,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,n_estimators,learning_rate,random_state,score
54,54,177,"(164,)","(0,)",0.6048128293305325,0.9321412254221881,4.2572509309059247e-08,2.505232165815613e-08,10,2.563555696318229e-06,42,2.6797071671302
71,71,41,"(196,)","(0,)",0.1259176472574127,0.8466507910167983,3.620052058957439e-08,0.0010899155442765228,10,2.2624462171175262e-06,42,2.679712481993761
89,89,170,"(179,)","(0,)",0.10331828907643464,0.19586576802189254,1.8521216484243926e-10,1.5248504530670164e-13,10,5.452592978318722e-06,42,2.6797150817803215
28,28,57,"(39,)","(0,)",0.8970133580575178,0.6341345891202061,1.3690460233835384e-05,5.480683261572132e-13,10,1.8291268753644823e-06,42,2.679716004321818
85,85,164,"(83,)","(0,)",0.9302681074657837,0.7358119733284866,0.0062090831088104535,5.540602278815693e-08,10,1.5352435233229975e-06,42,2.6797160902009325
96,96,130,"(123,)","(0,)",0.36512473382594657,0.14317962580688642,6.040324454624099e-05,0.027735497556516164,10,3.5084136068181866e-06,42,2.6797213382593035
38,38,13,"(2,)","(0,)",0.7735556774985857,0.3955198596240834,9.598961457687903e-05,2.10793962246796e-10,10,1.2654882565354948e-06,42,2.679723488846216
26,26,51,"(115,)","(0,)",0.5915436372866991,0.3204783859507979,3.830563777512668e-05,1.131275444672081e-14,10,9.688510531060284e-07,42,2.6797240140536958
27,27,147,"(72,)","(0,)",0.43940538792074346,0.24596579201447183,0.0012637900413403707,2.5132415006700762e-09,10,6.754775773055211e-07,42,2.679725396467981
50,50,82,"(192,)","(0,)",0.28206876059207736,0.20540244533071647,0.00025229606927921973,2.4862493497417854e-07,10,6.145849063277302e-07,42,2.679726152128218
7,7,21,"(183,)","(0,)",0.9368179691835463,0.14006438361561208,5.806519340690965e-05,7.632875969858385e-11,10,8.27340210031526e-07,42,2.6797264008628527
63,63,113,"(113,)","(0,)",0.7339746154065135,0.2661136710937285,1.3077941711016978e-07,5.15429823962051e-07,10,3.582556254663942e-07,42,2.679726480768636
39,39,146,"(75,)","(0,)",0.3348539784213161,0.3146796690607262,1.0112237236541888e-05,2.74310480050531e-06,10,2.0687086855033083e-07,42,2.679726806753774
33,33,37,"(6,)","(0,)",0.28379240316301724,0.580686326960687,1.2077273901397885e-08,0.06998529901562246,10,1.430326654849695e-07,42,2.67972683669923
70,70,113,"(68,)","(0,)",0.7639956446106513,0.6540094761675577,0.00018020921840656217,0.08873883057905237,10,1.0401591214594629e-07,42,2.679726892252841
29,29,143,"(35,)","(0,)",0.11307384665500303,0.20618471791838164,5.574634700789289e-05,0.012653860756690985,10,1.409324730142402e-07,42,2.679727229672291
49,49,157,"(78,)","(0,)",0.5854763314549122,0.7121004728799744,3.6638245889458624e-09,2.1959319144277005e-13,10,4.553419255378521e-08,42,2.679727288343338
44,44,113,"(147,)","(0,)",0.8729704178971553,0.3217683664904809,0.0005206944446361045,1.6900165784112553e-09,10,7.332353712744234e-08,42,2.6797273478086883
17,17,137,"(165,)","(0,)",0.9054756494702874,0.3350610113977334,2.9088591864221842e-08,0.005422964518875015,10,5.617143072360234e-08,42,2.679727404011245
47,47,49,"(115,)","(0,)",0.6221662648747576,0.6200726979564207,2.129640336559163e-07,1.1579048033337e-08,10,2.9303573961774887e-08,42,2.6797274444850014
11,11,23,"(189,)","(0,)",0.542718244673298,0.9182444465337601,2.7888543884339327e-09,7.977377718756106e-09,10,2.5314982137393538e-08,42,2.6797274635111847
51,51,157,"(21,)","(0,)",0.5386981133963384,0.8667045485829724,3.1494917487304786e-08,3.774949530857725e-06,10,1.6930566500857155e-08,42,2.679727473164388
41,41,77,"(163,)","(0,)",0.26936190233463614,0.35228544884524704,0.00022508718540281634,3.2631159488382245e-05,10,2.7469815521407947e-08,42,2.6797275119620187
90,90,56,"(94,)","(0,)",0.7586326752997393,0.5285969228055609,1.2482584176163709e-06,3.3322562193728174e-15,10,1.9064333355491808e-08,42,2.6797275129199924
59,59,198,"(62,)","(0,)",0.4571544069461805,0.46498161411982886,0.014075258505345602,4.1342013259263646e-12,10,1.5449854693891444e-08,42,2.6797275279000434
32,32,57,"(33,)","(0,)",0.6830654474384324,0.670671499814715,0.045556606122419664,1.3351520204705189e-08,10,1.3064912390874348e-08,42,2.6797275339518354
